company,title,total_compensation,years_of_experience,years_at_company
Facebook,Data Scientist,370000,8,3
Facebook,Data Scientist,225000,11,6
Facebook,Data Scientist,200000,5,0.25
Facebook,Data Scientist,240000,10,1
Facebook,Data Scientist,193000,1,0
Facebook,Data Scientist,385000,6,3
Facebook,Data Scientist,280000,3,0
Facebook,Data Scientist,230000,0,0
Facebook,Data Scientist,237000,5,0
Facebook,Data Scientist,150000,0,0
Facebook,Data Scientist,350000,4,4
Facebook,Data Scientist,201000,2,1
Facebook,Data Scientist,190000,2,1
Facebook,Data Scientist,225000,0,0
Facebook,Data Scientist,395000,15,3.5
Facebook,Data Scientist,195000,9,1
Facebook,Data Scientist,206000,4,1
Facebook,Data Scientist,220000,6,1.5
Facebook,Data Scientist,190000,1,0
Facebook,Data Scientist,350000,12,2
Facebook,Data Scientist,210000,4,1
Facebook,Data Scientist,190000,3,0
Facebook,Data Scientist,189000,0,0
Facebook,Data Scientist,340000,10,4
Facebook,Data Scientist,280000,8,2
Facebook,Data Scientist,240000,3,0
Facebook,Data Scientist,202000,0,0.25
Facebook,Data Scientist,144000,1,1
Facebook,Data Scientist,253000,5,3
Facebook,Data Scientist,274000,5,0
Facebook,Data Scientist,253000,8,0
Facebook,Data Scientist,253000,8,0
Facebook,Data Scientist,210000,10,0
Facebook,Data Scientist,245000,8,1
Facebook,Data Scientist,177000,0,0
Facebook,Data Scientist,211000,2,0
Facebook,Data Scientist,203000,0,0
Facebook,Data Scientist,570000,15,2
Facebook,Data Scientist,450000,11,3.7
Facebook,Data Scientist,230000,10,1
Facebook,Data Scientist,231000,5,0
Facebook,Data Scientist,205000,2,1
Facebook,Data Scientist,324000,6,0
Facebook,Data Scientist,250000,5,2
Facebook,Data Scientist,260000,8,3
Facebook,Data Scientist,315000,11,4
Facebook,Data Scientist,157000,0,0
Facebook,Data Scientist,295000,5,2
Facebook,Data Scientist,221000,10,2
Facebook,Data Scientist,185000,3,1
Facebook,Data Scientist,200000,3,0
Facebook,Data Scientist,325000,7,0
Facebook,Data Scientist,225000,2,1
Facebook,Data Scientist,170000,3,2
Facebook,Data Scientist,330000,10,0
Facebook,Data Scientist,300000,12,3
Facebook,Data Scientist,200000,2,2
Facebook,Data Scientist,235000,5,3
Facebook,Data Scientist,300000,11,2
Facebook,Data Scientist,300000,20,3
Facebook,Data Scientist,205000,0,0
Facebook,Data Scientist,297000,2,2
Facebook,Data Scientist,156000,0,0
Facebook,Data Scientist,210000,0,0
Facebook,Data Scientist,321000,15,5
Facebook,Data Scientist,208000,3,2
Facebook,Data Scientist,177000,0,0
Facebook,Data Scientist,210000,3,1
Facebook,Data Scientist,212000,3,0
Facebook,Data Scientist,120000,6,2
Facebook,Data Scientist,228000,3,3
Facebook,Data Scientist,167000,1,1
Facebook,Data Scientist,217000,5,1
Facebook,Data Scientist,310000,6,2
Facebook,Data Scientist,220000,1,0
Facebook,Data Scientist,170000,3,1
Facebook,Data Scientist,236000,5,0
Facebook,Data Scientist,220000,5,0
Facebook,Data Scientist,290000,4,1
Facebook,Data Scientist,190000,2,2
Facebook,Data Scientist,180000,2,2
Facebook,Data Scientist,220000,3,2
Facebook,Data Scientist,338000,10,0
Facebook,Data Scientist,221000,3,0
Facebook,Data Scientist,250000,8,3
Facebook,Data Scientist,190000,2,2
Facebook,Data Scientist,186000,2,2
Facebook,Data Scientist,164000,2,0
Facebook,Data Scientist,220000,7,4
Facebook,Data Scientist,180000,2,2
Facebook,Data Scientist,235000,4,4
Facebook,Data Scientist,198000,4,1
Facebook,Data Scientist,225000,7,3
Facebook,Data Scientist,308000,8,3
Facebook,Data Scientist,236000,4,1
Facebook,Data Scientist,100000,8,0
Facebook,Data Scientist,565000,10,0
Facebook,Data Scientist,210000,1,1
Facebook,Data Scientist,165000,0,0
Facebook,Data Scientist,228000,4,2
Facebook,Data Scientist,145000,0,0
Facebook,Data Scientist,220000,5,2
Facebook,Data Scientist,294000,4,3
Facebook,Data Scientist,185000,4,1
Facebook,Data Scientist,300000,17,0
Facebook,Data Scientist,225000,4,0
Facebook,Data Scientist,233000,2,2
Facebook,Data Scientist,495000,8,6
Facebook,Data Scientist,200000,6,1
Facebook,Data Scientist,230000,6,2
Facebook,Data Scientist,280000,5,1
Facebook,Data Scientist,214000,4,0
Facebook,Data Scientist,201000,3,0
Facebook,Data Scientist,215000,8,6
Facebook,Data Scientist,327000,2,0
Facebook,Data Scientist,211000,5,0
Facebook,Data Scientist,305000,3,1
Facebook,Data Scientist,235000,1,0
Facebook,Data Scientist,296000,9,2
Facebook,Data Scientist,297000,5,2
Facebook,Data Scientist,257000,3,1
Facebook,Data Scientist,291000,4,3
Facebook,Data Scientist,242000,0,0
Facebook,Data Scientist,297000,2,2
Facebook,Data Scientist,167000,5,2
Facebook,Data Scientist,142000,3,0
Facebook,Data Scientist,230000,1,1
Facebook,Data Scientist,210000,2,0
Facebook,Data Scientist,375000,5,4
Facebook,Data Scientist,420000,7,3
Facebook,Data Scientist,265000,5,2
Facebook,Data Scientist,740000,10,4
Facebook,Data Scientist,310000,4,2
Facebook,Data Scientist,234000,8,0
Facebook,Data Scientist,315000,14,0
Facebook,Data Scientist,300000,4,1
Facebook,Data Scientist,420000,4,3
Facebook,Data Scientist,295000,10,1
Facebook,Data Scientist,367000,7,4
Facebook,Data Scientist,189000,3,0
Facebook,Data Scientist,217000,3,0
Facebook,Data Scientist,165000,0,0
Facebook,Data Scientist,370000,9,3
Facebook,Data Scientist,360000,7,7
Facebook,Data Scientist,445000,10,4
Facebook,Data Scientist,300000,10,0
Facebook,Data Scientist,278000,2,2
Facebook,Data Scientist,157000,1,1
Facebook,Data Scientist,320000,5,3
Facebook,Data Scientist,101000,3,0
Facebook,Data Scientist,211000,5,0
Facebook,Data Scientist,143000,3,1
Facebook,Data Scientist,167000,4,3
Facebook,Data Scientist,182000,3,0
Facebook,Data Scientist,242000,4,0
Facebook,Data Scientist,464000,8,5
Facebook,Data Scientist,272000,16,0
Facebook,Data Scientist,210000,2,0
Facebook,Data Scientist,255000,6,0
Facebook,Data Scientist,165000,4,1
Facebook,Data Scientist,270000,1,1
Facebook,Data Scientist,280000,8,2
Facebook,Data Scientist,226000,10,2
Facebook,Data Scientist,238000,3,0
Facebook,Data Scientist,250000,2,2
Facebook,Data Scientist,246000,2,2
Facebook,Data Scientist,211000,8,0
Facebook,Data Scientist,300000,5,2
Facebook,Data Scientist,385000,14,0
Facebook,Data Scientist,262000,11,2
Facebook,Data Scientist,300000,7,0
Facebook,Data Scientist,357000,7,3
Facebook,Data Scientist,338000,2,2
Facebook,Data Scientist,200000,6,2
Facebook,Data Scientist,412000,10,4
Facebook,Data Scientist,304000,9,3
Facebook,Data Scientist,265000,11,2
Facebook,Data Scientist,302000,9,3
Facebook,Data Scientist,334000,4,2
Facebook,Data Scientist,700000,16,2
Facebook,Data Scientist,631000,11,0
Facebook,Data Scientist,185000,5,1
Facebook,Data Scientist,233000,2,2
Facebook,Data Scientist,150000,0,0
Microsoft,Data Scientist,218000,11,11
Microsoft,Data Scientist,340000,11,11
Microsoft,Data Scientist,500000,20,3
Microsoft,Data Scientist,220000,2,2
Microsoft,Data Scientist,340000,9,2
Microsoft,Data Scientist,149000,9,1
Microsoft,Data Scientist,356000,9,1
Microsoft,Data Scientist,243000,2,1
Microsoft,Data Scientist,215000,10,10
Microsoft,Data Scientist,216000,15,1
Microsoft,Data Scientist,240000,2,2
Microsoft,Data Scientist,182000,10,3
Microsoft,Data Scientist,180000,2,2
Microsoft,Data Scientist,180000,9,3
Microsoft,Data Scientist,180000,9,3
Microsoft,Data Scientist,190000,4,3
Microsoft,Data Scientist,225000,2,1
Microsoft,Data Scientist,145000,4,3
Microsoft,Data Scientist,145000,2,1
Microsoft,Data Scientist,160000,0,0
Microsoft,Data Scientist,183000,8,3
Microsoft,Data Scientist,226000,0,0
Microsoft,Data Scientist,365000,18,1
Microsoft,Data Scientist,192000,0,0.2
Microsoft,Data Scientist,150000,0,0
Microsoft,Data Scientist,150000,0,0
Microsoft,Data Scientist,150000,7,1
Microsoft,Data Scientist,270000,10,2
Microsoft,Data Scientist,150000,0,0
Microsoft,Data Scientist,164000,0,0
Microsoft,Data Scientist,245000,3,1
Microsoft,Data Scientist,222000,10,4
Microsoft,Data Scientist,250000,3,1
Microsoft,Data Scientist,108000,1,1
Microsoft,Data Scientist,230000,2,1
Microsoft,Data Scientist,240000,0,2
Microsoft,Data Scientist,158000,1,0
Microsoft,Data Scientist,130000,5,5
Microsoft,Data Scientist,225000,5,1
Microsoft,Data Scientist,427000,10,2
Microsoft,Data Scientist,175000,5,2
Microsoft,Data Scientist,178000,3,1.5
Microsoft,Data Scientist,216000,5,0
Microsoft,Data Scientist,222000,10,4
Microsoft,Data Scientist,270000,4,0
Microsoft,Data Scientist,199000,0,0
Microsoft,Data Scientist,173000,2,1.5
Microsoft,Data Scientist,199000,0,0
Microsoft,Data Scientist,152000,8,4
Microsoft,Data Scientist,185000,10,2
Microsoft,Data Scientist,350000,15,3
Microsoft,Data Scientist,285000,7,3
Microsoft,Data Scientist,165000,4,4
Microsoft,Data Scientist,232000,3,2
Microsoft,Data Scientist,250000,5,5
Microsoft,Data Scientist,120000,3,3
Microsoft,Data Scientist,75000,11,3
Microsoft,Data Scientist,260000,5,5
Microsoft,Data Scientist,162000,4,4
Microsoft,Data Scientist,159000,7,2
Microsoft,Data Scientist,250000,13,12
Microsoft,Data Scientist,228000,5,5
Microsoft,Data Scientist,290000,2,2
Microsoft,Data Scientist,180000,2,2
Microsoft,Data Scientist,288000,6,3
Microsoft,Data Scientist,220000,8,2
Microsoft,Data Scientist,171000,7,6
Microsoft,Data Scientist,186000,6,6
Microsoft,Data Scientist,146000,1,0
Microsoft,Data Scientist,155000,2,1
Microsoft,Data Scientist,266000,6,1
Microsoft,Data Scientist,213000,4,19
Microsoft,Data Scientist,185000,8,4
Microsoft,Data Scientist,165000,0,0
Microsoft,Data Scientist,147000,7,4
Microsoft,Data Scientist,240000,0,0
Microsoft,Data Scientist,304000,8,7
Microsoft,Data Scientist,232000,0,0
Microsoft,Data Scientist,309000,3,3
Microsoft,Data Scientist,135000,8,0
Microsoft,Data Scientist,269000,15,7
Microsoft,Data Scientist,280000,0,0
Microsoft,Data Scientist,208000,8,4
Microsoft,Data Scientist,170000,10,7
Microsoft,Data Scientist,223000,2,0
Microsoft,Data Scientist,262000,14,8
Microsoft,Data Scientist,180000,0,0
Microsoft,Data Scientist,212000,1,0
Microsoft,Data Scientist,262000,0,0
Microsoft,Data Scientist,225000,0,0
Microsoft,Data Scientist,213000,0,0
Microsoft,Data Scientist,144000,1,1
Microsoft,Data Scientist,170000,6,2
Microsoft,Data Scientist,173000,0,0
Microsoft,Data Scientist,170000,5,5
Microsoft,Data Scientist,203000,3,2
Microsoft,Data Scientist,281000,15,6
Microsoft,Data Scientist,215000,2,0
Microsoft,Data Scientist,187000,2,2
Microsoft,Data Scientist,194000,2,0
Microsoft,Data Scientist,265000,10,1
Microsoft,Data Scientist,141000,2,2
Microsoft,Data Scientist,211000,0,0
Microsoft,Data Scientist,155000,2,0
Microsoft,Data Scientist,221000,8,4
Microsoft,Data Scientist,205000,0,0
Microsoft,Data Scientist,200000,2,2
Microsoft,Data Scientist,191000,0,0
Microsoft,Data Scientist,100000,14,14
Microsoft,Data Scientist,142000,2,2
Microsoft,Data Scientist,162000,3,3
Microsoft,Data Scientist,132000,15,1
Microsoft,Data Scientist,120000,15,15
Microsoft,Data Scientist,180000,2,1
Microsoft,Data Scientist,220000,10,7
Microsoft,Data Scientist,245000,11,2
Microsoft,Data Scientist,211000,0,0
Microsoft,Data Scientist,190000,2,2
Microsoft,Data Scientist,172000,0,0
Microsoft,Data Scientist,156000,16,6
Microsoft,Data Scientist,156000,16,6
Microsoft,Data Scientist,195000,5,1
Microsoft,Data Scientist,550000,7,7
Microsoft,Data Scientist,150000,3,3
Microsoft,Data Scientist,170000,5,1
Microsoft,Data Scientist,191000,1,1
Microsoft,Data Scientist,184000,1,1
Microsoft,Data Scientist,247000,7,4
Microsoft,Data Scientist,78000,2,2
Microsoft,Data Scientist,390000,5,2
Microsoft,Data Scientist,151000,5,3
Microsoft,Data Scientist,220000,4,2
Microsoft,Data Scientist,109000,11,4
Microsoft,Data Scientist,238000,2,2
Microsoft,Data Scientist,162000,3,0
Microsoft,Data Scientist,150000,1,1
Microsoft,Data Scientist,171000,3,3
Microsoft,Data Scientist,212000,7,4
Microsoft,Data Scientist,257000,15,9
Microsoft,Data Scientist,320000,10,4
Microsoft,Data Scientist,207000,11,11
Microsoft,Data Scientist,205000,10,3
Microsoft,Data Scientist,209000,10,3
Microsoft,Data Scientist,209000,2,2
Microsoft,Data Scientist,209000,5,5
Microsoft,Data Scientist,248000,15,5
Microsoft,Data Scientist,234000,8,5
Microsoft,Data Scientist,201000,0,0
Microsoft,Data Scientist,194000,3,3
Microsoft,Data Scientist,400000,16,4
Microsoft,Data Scientist,320000,9,4
Microsoft,Data Scientist,194000,5,5
Microsoft,Data Scientist,227000,3,0
Microsoft,Data Scientist,168000,5,5
Microsoft,Data Scientist,229000,0,0
Microsoft,Data Scientist,122000,4,4
Microsoft,Data Scientist,156000,2,2
Microsoft,Data Scientist,159000,2,2
Microsoft,Data Scientist,182000,2,0
Microsoft,Data Scientist,230000,4,0
Microsoft,Data Scientist,159000,4,1
Microsoft,Data Scientist,185000,1,1
Microsoft,Data Scientist,290000,7,7
Microsoft,Data Scientist,292000,15,0
Microsoft,Data Scientist,350000,4,2
Microsoft,Data Scientist,182000,7,7
Microsoft,Data Scientist,280000,5,5
Microsoft,Data Scientist,240000,0,0
Microsoft,Data Scientist,136000,0,0
Microsoft,Data Scientist,183000,1,1
Microsoft,Data Scientist,173000,2,0
Microsoft,Data Scientist,163000,5,5
Microsoft,Data Scientist,513000,12,3
Microsoft,Data Scientist,69000,7,0
Microsoft,Data Scientist,166000,3,1
Microsoft,Data Scientist,202000,0,0
Microsoft,Data Scientist,153000,6,2
Microsoft,Data Scientist,510000,11,9
Microsoft,Data Scientist,225000,11,11
Microsoft,Data Scientist,283000,9,1
Microsoft,Data Scientist,182000,7,7
Microsoft,Data Scientist,100000,2,2
Microsoft,Data Scientist,273000,6,1
Microsoft,Data Scientist,170000,10,2
Microsoft,Data Scientist,193000,5,5
Microsoft,Data Scientist,345000,7,0
Microsoft,Data Scientist,166000,1,1
Microsoft,Data Scientist,210000,5,1
Microsoft,Data Scientist,180000,2,0
Microsoft,Data Scientist,245000,5,0
Microsoft,Data Scientist,323000,7,2
Microsoft,Data Scientist,198000,5,1
Microsoft,Data Scientist,262000,11,6
Microsoft,Data Scientist,105000,14,4
Microsoft,Data Scientist,194000,3,3
Microsoft,Data Scientist,209000,13,3
Microsoft,Data Scientist,248000,3,2
Microsoft,Data Scientist,57000,10,0
Microsoft,Data Scientist,210000,2,2
Microsoft,Data Scientist,400000,10,4
Microsoft,Data Scientist,160000,15,7
Microsoft,Data Scientist,290000,14,14
Microsoft,Data Scientist,256000,4,0
Microsoft,Data Scientist,159000,1,0
Microsoft,Data Scientist,165000,5,5
Microsoft,Data Scientist,190000,1,1
Microsoft,Data Scientist,181000,3,3
Microsoft,Data Scientist,212000,2,2
Microsoft,Data Scientist,143000,5,0
Microsoft,Data Scientist,206000,0,0
Microsoft,Data Scientist,200000,4,4
Microsoft,Data Scientist,225000,2,2
Microsoft,Data Scientist,757000,5,0
Microsoft,Data Scientist,162000,0,0
Microsoft,Data Scientist,205000,3,3
Microsoft,Data Scientist,230000,13,4
Microsoft,Data Scientist,210000,7,2
