survived,sex,age,class,who,alone
0,male,22,Third,man,FALSE
1,female,38,First,woman,FALSE
1,female,26,Third,woman,TRUE
1,female,35,First,woman,FALSE
0,male,35,Third,man,TRUE
0,male,,Third,man,TRUE
0,male,54,First,man,TRUE
0,male,2,Third,child,FALSE
1,female,27,Third,woman,FALSE
1,female,14,Second,child,FALSE
1,female,4,Third,child,FALSE
1,female,58,First,woman,TRUE
0,male,20,Third,man,TRUE
0,male,39,Third,man,FALSE
0,female,14,Third,child,TRUE
1,female,55,Second,woman,TRUE
0,male,2,Third,child,FALSE
1,male,,Second,man,TRUE
0,female,31,Third,woman,FALSE
1,female,,Third,woman,TRUE
0,male,35,Second,man,TRUE
1,male,34,Second,man,TRUE
1,female,15,Third,child,TRUE
1,male,28,First,man,TRUE
0,female,8,Third,child,FALSE
1,female,38,Third,woman,FALSE
0,male,,Third,man,TRUE
0,male,19,First,man,FALSE
1,female,,Third,woman,TRUE
0,male,,Third,man,TRUE
0,male,40,First,man,TRUE
1,female,,First,woman,FALSE
1,female,,Third,woman,TRUE
0,male,66,Second,man,TRUE
0,male,28,First,man,FALSE
0,male,42,First,man,FALSE
1,male,,Third,man,TRUE
0,male,21,Third,man,TRUE
0,female,18,Third,woman,FALSE
1,female,14,Third,child,FALSE
0,female,40,Third,woman,FALSE
0,female,27,Second,woman,FALSE
0,male,,Third,man,TRUE
1,female,3,Second,child,FALSE
1,female,19,Third,woman,TRUE
0,male,,Third,man,TRUE
0,male,,Third,man,FALSE
1,female,,Third,woman,TRUE
0,male,,Third,man,FALSE
0,female,18,Third,woman,FALSE
0,male,7,Third,child,FALSE
0,male,21,Third,man,TRUE
1,female,49,First,woman,FALSE
1,female,29,Second,woman,FALSE
0,male,65,First,man,FALSE
1,male,,First,man,TRUE
1,female,21,Second,woman,TRUE
0,male,28.5,Third,man,TRUE
1,female,5,Second,child,FALSE
0,male,11,Third,child,FALSE
0,male,22,Third,man,TRUE
1,female,38,First,woman,TRUE
0,male,45,First,man,FALSE
0,male,4,Third,child,FALSE
0,male,,First,man,TRUE
1,male,,Third,man,FALSE
1,female,29,Second,woman,TRUE
0,male,19,Third,man,TRUE
1,female,17,Third,woman,FALSE
0,male,26,Third,man,FALSE
0,male,32,Second,man,TRUE
0,female,16,Third,woman,FALSE
0,male,21,Second,man,TRUE
0,male,26,Third,man,FALSE
1,male,32,Third,man,TRUE
0,male,25,Third,man,TRUE
0,male,,Third,man,TRUE
0,male,,Third,man,TRUE
1,male,0.83,Second,child,FALSE
1,female,30,Third,woman,TRUE
0,male,22,Third,man,TRUE
1,male,29,Third,man,TRUE
1,female,,Third,woman,TRUE
0,male,28,First,man,TRUE
1,female,17,Second,woman,TRUE
1,female,33,Third,woman,FALSE
0,male,16,Third,man,FALSE
0,male,,Third,man,TRUE
1,female,23,First,woman,FALSE
0,male,24,Third,man,TRUE
0,male,29,Third,man,TRUE
0,male,20,Third,man,TRUE
0,male,46,First,man,FALSE
0,male,26,Third,man,FALSE
0,male,59,Third,man,TRUE
0,male,,Third,man,TRUE
0,male,71,First,man,TRUE
1,male,23,First,man,FALSE
1,female,34,Second,woman,FALSE
0,male,34,Second,man,FALSE
0,female,28,Third,woman,TRUE
0,male,,Third,man,TRUE
0,male,21,First,man,FALSE
0,male,33,Third,man,TRUE
0,male,37,Third,man,FALSE
0,male,28,Third,man,TRUE
1,female,21,Third,woman,TRUE
1,male,,Third,man,TRUE
0,male,38,Third,man,TRUE
1,female,,Third,woman,FALSE
0,male,47,First,man,TRUE
0,female,14.5,Third,child,FALSE
0,male,22,Third,man,TRUE
0,female,20,Third,woman,FALSE
0,female,17,Third,woman,TRUE
0,male,21,Third,man,TRUE
0,male,70.5,Third,man,TRUE
0,male,29,Second,man,FALSE
0,male,24,First,man,FALSE
0,female,2,Third,child,FALSE
0,male,21,Second,man,FALSE
0,male,,Third,man,TRUE
0,male,32.5,Second,man,FALSE
1,female,32.5,Second,woman,TRUE
0,male,54,First,man,FALSE
1,male,12,Third,child,FALSE
0,male,,Third,man,TRUE
1,male,24,Third,man,TRUE
1,female,,Third,woman,FALSE
0,male,45,Third,man,TRUE
0,male,33,Third,man,TRUE
0,male,20,Third,man,TRUE
0,female,47,Third,woman,FALSE
1,female,29,Second,woman,FALSE
0,male,25,Second,man,TRUE
0,male,23,Second,man,TRUE
1,female,19,First,woman,FALSE
0,male,37,First,man,FALSE
0,male,16,Third,man,TRUE
0,male,24,First,man,TRUE
0,female,,Third,woman,FALSE
1,female,22,Third,woman,TRUE
1,female,24,Third,woman,FALSE
0,male,19,Third,man,TRUE
0,male,18,Second,man,TRUE
0,male,19,Second,man,FALSE
1,male,27,Third,man,TRUE
0,female,9,Third,child,FALSE
0,male,36.5,Second,man,FALSE
0,male,42,Second,man,TRUE
0,male,51,Second,man,TRUE
1,female,22,First,woman,FALSE
0,male,55.5,Third,man,TRUE
0,male,40.5,Third,man,FALSE
0,male,,Third,man,TRUE
0,male,51,First,man,FALSE
1,female,16,Third,woman,TRUE
0,male,30,Third,man,TRUE
0,male,,Third,man,TRUE
0,male,,Third,man,FALSE
0,male,44,Third,man,FALSE
1,female,40,Second,woman,TRUE
0,male,26,Third,man,TRUE
0,male,17,Third,man,TRUE
0,male,1,Third,child,FALSE
1,male,9,Third,child,FALSE
1,female,,First,woman,FALSE
0,female,45,Third,woman,FALSE
0,male,,First,man,TRUE
0,male,28,Third,man,TRUE
0,male,61,First,man,TRUE
0,male,4,Third,child,FALSE
1,female,1,Third,child,FALSE
0,male,21,Third,man,TRUE
0,male,56,First,man,TRUE
0,male,18,Third,man,FALSE
0,male,,Third,man,FALSE
0,female,50,First,woman,TRUE
0,male,30,Second,man,TRUE
0,male,36,Third,man,TRUE
0,female,,Third,woman,FALSE
0,male,,Second,man,TRUE
0,male,9,Third,child,FALSE
1,male,1,Second,child,FALSE
1,female,4,Third,child,FALSE
0,male,,First,man,TRUE
1,female,,Third,woman,FALSE
1,male,45,First,man,TRUE
0,male,40,Third,man,FALSE
0,male,36,Third,man,TRUE
1,female,32,Second,woman,TRUE
0,male,19,Second,man,TRUE
1,female,19,Third,woman,FALSE
1,male,3,Second,child,FALSE
1,female,44,First,woman,TRUE
1,female,58,First,woman,TRUE
0,male,,Third,man,TRUE
0,male,42,Third,man,FALSE
1,female,,Third,woman,TRUE
0,female,24,Second,woman,TRUE
0,male,28,Third,man,TRUE
0,male,,Third,man,FALSE
0,male,34,Third,man,TRUE
0,male,45.5,Third,man,TRUE
1,male,18,Third,man,TRUE
0,female,2,Third,child,FALSE
0,male,32,Third,man,FALSE
1,male,26,Third,man,TRUE
1,female,16,Third,woman,TRUE
1,male,40,First,man,TRUE
0,male,24,Third,man,TRUE
1,female,35,Second,woman,TRUE
0,male,22,Third,man,TRUE
0,male,30,Second,man,TRUE
0,male,,Third,man,FALSE
1,female,31,First,woman,FALSE
1,female,27,Third,woman,TRUE
0,male,42,Second,man,FALSE
1,female,32,First,woman,TRUE
0,male,30,Second,man,TRUE
1,male,16,Third,man,TRUE
0,male,27,Second,man,TRUE
0,male,51,Third,man,TRUE
0,male,,Third,man,TRUE
1,male,38,First,man,FALSE
0,male,22,Third,man,TRUE
1,male,19,Second,man,TRUE
0,male,20.5,Third,man,TRUE
0,male,18,Second,man,TRUE
0,female,,Third,woman,FALSE
1,female,35,First,woman,FALSE
0,male,29,Third,man,TRUE
0,male,59,Second,man,TRUE
1,female,5,Third,child,FALSE
0,male,24,Second,man,TRUE
0,female,,Third,woman,TRUE
0,male,44,Second,man,FALSE
1,female,8,Second,child,FALSE
0,male,19,Second,man,TRUE
0,male,33,Second,man,TRUE
0,female,,Third,woman,FALSE
1,female,,Third,woman,FALSE
0,male,29,Second,man,TRUE
0,male,22,Third,man,TRUE
0,male,30,Third,man,TRUE
0,male,44,First,man,FALSE
0,female,25,Third,woman,TRUE
1,female,24,Second,woman,FALSE
1,male,37,First,man,FALSE
0,male,54,Second,man,FALSE
0,male,,Third,man,TRUE
0,female,29,Third,woman,FALSE
0,male,62,First,man,TRUE
0,male,30,Third,man,FALSE
0,female,41,Third,woman,FALSE
1,female,29,Third,woman,FALSE
1,female,,First,woman,TRUE
1,female,30,First,woman,TRUE
1,female,35,First,woman,TRUE
1,female,50,Second,woman,FALSE
0,male,,Third,man,TRUE
1,male,3,Third,child,FALSE
0,male,52,First,man,FALSE
0,male,40,First,man,TRUE
0,female,,Third,woman,TRUE
0,male,36,Second,man,TRUE
0,male,16,Third,man,FALSE
1,male,25,Third,man,FALSE
1,female,58,First,woman,FALSE
1,female,35,First,woman,TRUE
0,male,,First,man,TRUE
1,male,25,Third,man,TRUE
1,female,41,Second,woman,FALSE
0,male,37,First,man,FALSE
1,female,,Third,woman,TRUE
1,female,63,First,woman,FALSE
0,female,45,Third,woman,TRUE
0,male,,Second,man,TRUE
0,male,7,Third,child,FALSE
1,female,35,Third,woman,FALSE
0,male,65,Third,man,TRUE
0,male,28,Third,man,TRUE
0,male,16,Third,man,TRUE
1,male,19,Third,man,TRUE
0,male,,First,man,TRUE
0,male,33,Third,man,TRUE
1,male,30,Third,man,TRUE
0,male,22,Third,man,TRUE
1,male,42,Second,man,TRUE
1,female,22,Third,woman,TRUE
1,female,26,First,woman,TRUE
1,female,19,First,woman,FALSE
0,male,36,Second,man,TRUE
0,female,24,Third,woman,TRUE
0,male,24,Third,man,TRUE
0,male,,First,man,TRUE
0,male,23.5,Third,man,TRUE
0,female,2,First,child,FALSE
1,male,,First,man,TRUE
1,female,50,First,woman,FALSE
1,female,,Third,woman,TRUE
1,male,,Third,man,FALSE
0,male,19,Third,man,TRUE
1,female,,Second,woman,TRUE
0,male,,Third,man,TRUE
1,male,0.92,First,child,FALSE
1,female,,First,woman,TRUE
1,female,17,First,woman,FALSE
0,male,30,Second,man,FALSE
1,female,30,First,woman,TRUE
1,female,24,First,woman,TRUE
1,female,18,First,woman,FALSE
0,female,26,Second,woman,FALSE
0,male,28,Third,man,TRUE
0,male,43,Second,man,FALSE
1,female,26,Third,woman,TRUE
1,female,24,Second,woman,FALSE
0,male,54,Second,man,TRUE
1,female,31,First,woman,FALSE
1,female,40,First,woman,FALSE
0,male,22,Third,man,TRUE
0,male,27,Third,man,TRUE
1,female,30,Second,woman,TRUE
1,female,22,Second,woman,FALSE
0,male,,Third,man,FALSE
1,female,36,First,woman,TRUE
0,male,61,Third,man,TRUE
1,female,36,Second,woman,TRUE
1,female,31,Third,woman,FALSE
1,female,16,First,woman,FALSE
1,female,,Third,woman,FALSE
0,male,45.5,First,man,TRUE
0,male,38,First,man,FALSE
0,male,16,Third,man,FALSE
1,female,,First,woman,FALSE
0,male,,Third,man,TRUE
0,male,29,First,man,FALSE
1,female,41,First,woman,TRUE
1,male,45,Third,man,TRUE
0,male,45,First,man,TRUE
1,male,2,Second,child,FALSE
1,female,24,First,woman,FALSE
0,male,28,Second,man,TRUE
0,male,25,Second,man,TRUE
0,male,36,Second,man,TRUE
1,female,24,Second,woman,TRUE
1,female,40,Second,woman,TRUE
1,female,,Third,woman,FALSE
1,male,3,Third,child,FALSE
0,male,42,Third,man,TRUE
0,male,23,Third,man,TRUE
0,male,,First,man,TRUE
0,male,15,Third,child,FALSE
0,male,25,Third,man,FALSE
0,male,,Third,man,TRUE
0,male,28,Third,man,TRUE
1,female,22,First,woman,FALSE
0,female,38,Second,woman,TRUE
1,female,,Third,woman,TRUE
1,female,,Third,woman,TRUE
0,male,40,Third,man,FALSE
0,male,29,Second,man,FALSE
0,female,45,Third,woman,FALSE
0,male,35,Third,man,TRUE
0,male,,Third,man,FALSE
0,male,30,Third,man,TRUE
1,female,60,First,woman,FALSE
1,female,,Third,woman,TRUE
1,female,,Third,woman,TRUE
1,female,24,First,woman,TRUE
1,male,25,First,man,FALSE
0,male,18,Third,man,FALSE
0,male,19,Third,man,TRUE
0,male,22,First,man,TRUE
0,female,3,Third,child,FALSE
1,female,,First,woman,FALSE
1,female,22,Third,woman,TRUE
0,male,27,First,man,FALSE
0,male,20,Third,man,TRUE
0,male,19,Third,man,TRUE
1,female,42,First,woman,TRUE
1,female,1,Third,child,FALSE
0,male,32,Third,man,TRUE
1,female,35,First,woman,FALSE
0,male,,Third,man,TRUE
0,male,18,Second,man,TRUE
0,male,1,Third,child,FALSE
1,female,36,Second,woman,TRUE
0,male,,Third,man,TRUE
1,female,17,Second,woman,TRUE
1,male,36,First,man,FALSE
1,male,21,Third,man,TRUE
0,male,28,Third,man,FALSE
1,female,23,First,woman,FALSE
1,female,24,Third,woman,FALSE
0,male,22,Third,man,TRUE
0,female,31,Third,woman,TRUE
0,male,46,Second,man,TRUE
0,male,23,Second,man,TRUE
1,female,28,Second,woman,TRUE
1,male,39,Third,man,TRUE
0,male,26,Third,man,TRUE
0,female,21,Third,woman,FALSE
0,male,28,Third,man,FALSE
0,female,20,Third,woman,TRUE
0,male,34,Second,man,FALSE
0,male,51,Third,man,TRUE
1,male,3,Second,child,FALSE
0,male,21,Third,man,TRUE
0,female,,Third,woman,FALSE
0,male,,Third,man,TRUE
0,male,,Third,man,TRUE
1,female,33,First,woman,FALSE
0,male,,Second,man,TRUE
1,male,44,Third,man,TRUE
0,female,,Third,woman,TRUE
1,female,34,Second,woman,FALSE
1,female,18,Second,woman,FALSE
0,male,30,Second,man,TRUE
0,female,10,Third,child,FALSE
0,male,,Third,man,TRUE
0,male,21,Third,man,TRUE
0,male,29,Third,man,TRUE
0,female,28,Third,woman,FALSE
0,male,18,Third,man,FALSE
0,male,,Third,man,TRUE
1,female,28,Second,woman,FALSE
1,female,19,Second,woman,TRUE
0,male,,Third,man,TRUE
1,male,32,Third,man,TRUE
1,male,28,First,man,TRUE
1,female,,Third,woman,FALSE
1,female,42,Second,woman,FALSE
0,male,17,Third,man,TRUE
0,male,50,First,man,FALSE
1,female,14,First,child,FALSE
0,female,21,Third,woman,FALSE
1,female,24,Second,woman,FALSE
0,male,64,First,man,FALSE
0,male,31,Second,man,TRUE
1,female,45,Second,woman,FALSE
