survived,sex,age,class,who,alone
0,male,20,Third,man,TRUE
0,male,25,Third,man,FALSE
1,female,28,Second,woman,TRUE
1,male,,Third,man,TRUE
1,male,4,First,child,FALSE
1,female,13,Second,child,FALSE
1,male,34,First,man,TRUE
1,female,5,Third,child,FALSE
1,male,52,First,man,TRUE
0,male,36,Second,man,FALSE
0,male,,Third,man,FALSE
0,male,30,First,man,TRUE
1,male,49,First,man,FALSE
0,male,,Third,man,TRUE
1,male,29,Third,man,TRUE
0,male,65,First,man,TRUE
1,female,,First,woman,FALSE
1,female,50,Second,woman,TRUE
0,male,,Third,man,TRUE
1,male,48,First,man,TRUE
0,male,34,Third,man,TRUE
0,male,47,First,man,TRUE
0,male,48,Second,man,TRUE
0,male,,Third,man,TRUE
0,male,38,Third,man,TRUE
0,male,,Second,man,TRUE
0,male,56,First,man,TRUE
0,male,,Third,man,TRUE
1,female,0.75,Third,child,FALSE
0,male,,Third,man,TRUE
0,male,38,Third,man,TRUE
1,female,33,Second,woman,FALSE
1,female,23,Second,woman,TRUE
0,female,22,Third,woman,TRUE
0,male,,First,man,TRUE
0,male,34,Second,man,FALSE
0,male,29,Third,man,FALSE
0,male,22,Third,man,TRUE
1,female,2,Third,child,FALSE
0,male,9,Third,child,FALSE
0,male,,Second,man,TRUE
0,male,50,Third,man,TRUE
1,female,63,Third,woman,TRUE
1,male,25,First,man,FALSE
0,female,,Third,woman,FALSE
1,female,35,First,woman,FALSE
0,male,58,First,man,TRUE
0,male,30,Third,man,TRUE
1,male,9,Third,child,FALSE
0,male,,Third,man,FALSE
0,male,21,Third,man,TRUE
0,male,55,First,man,TRUE
0,male,71,First,man,TRUE
0,male,21,Third,man,TRUE
0,male,,Third,man,TRUE
1,female,54,First,woman,FALSE
0,male,,Third,man,TRUE
0,female,25,First,woman,FALSE
0,male,24,Third,man,TRUE
0,male,17,Third,man,TRUE
0,female,21,Third,woman,TRUE
0,female,,Third,woman,TRUE
0,female,37,Third,woman,TRUE
1,female,16,First,woman,TRUE
0,male,18,First,man,FALSE
1,female,33,Second,woman,FALSE
1,male,,First,man,TRUE
0,male,28,Third,man,TRUE
1,male,26,Third,man,TRUE
1,male,29,Third,man,TRUE
0,male,,Third,man,TRUE
1,male,36,First,man,TRUE
1,female,54,First,woman,FALSE
0,male,24,Third,man,TRUE
0,male,47,First,man,TRUE
1,female,34,Second,woman,TRUE
0,male,,Third,man,TRUE
1,female,36,Second,woman,FALSE
0,male,32,Third,man,TRUE
1,female,30,First,woman,TRUE
0,male,22,Third,man,TRUE
0,male,,Third,man,TRUE
1,female,44,First,woman,FALSE
0,male,,Third,man,TRUE
0,male,40.5,Third,man,TRUE
1,female,50,Second,woman,TRUE
0,male,,First,man,TRUE
0,male,39,Third,man,TRUE
0,male,23,Second,man,FALSE
1,female,2,Second,child,FALSE
0,male,,Third,man,TRUE
0,male,17,Third,man,FALSE
1,female,,Third,woman,FALSE
0,female,30,Third,woman,TRUE
1,female,7,Second,child,FALSE
0,male,45,First,man,TRUE
1,female,30,First,woman,TRUE
0,male,,Third,man,TRUE
1,female,22,First,woman,FALSE
1,female,36,First,woman,FALSE
0,female,9,Third,child,FALSE
0,female,11,Third,child,FALSE
1,male,32,Second,man,FALSE
0,male,50,First,man,FALSE
0,male,64,First,man,TRUE
1,female,19,Second,woman,FALSE
1,male,,Second,man,TRUE
0,male,33,Third,man,FALSE
1,male,8,Second,child,FALSE
1,male,17,First,man,FALSE
0,male,27,Second,man,TRUE
0,male,,Third,man,TRUE
1,male,22,Third,man,TRUE
1,female,22,Third,woman,TRUE
0,male,62,First,man,TRUE
1,female,48,First,woman,FALSE
0,male,,First,man,TRUE
1,female,39,First,woman,FALSE
1,female,36,Third,woman,FALSE
0,male,,Third,man,TRUE
0,male,40,Third,man,TRUE
0,male,28,Second,man,TRUE
0,male,,Third,man,TRUE
0,female,,Third,woman,TRUE
0,male,24,Third,man,FALSE
0,male,19,Third,man,TRUE
0,female,29,Third,woman,FALSE
0,male,,Third,man,TRUE
1,male,32,Third,man,TRUE
1,male,62,Second,man,TRUE
1,female,53,First,woman,FALSE
1,male,36,First,man,TRUE
1,female,,Third,woman,TRUE
0,male,16,Third,man,TRUE
0,male,19,Third,man,TRUE
1,female,34,Second,woman,TRUE
1,female,39,First,woman,FALSE
0,female,,Third,woman,FALSE
1,male,32,Third,man,TRUE
1,female,25,Second,woman,FALSE
1,female,39,First,woman,FALSE
0,male,54,Second,man,TRUE
0,male,36,First,man,TRUE
0,male,,Third,man,TRUE
1,female,18,First,woman,FALSE
0,male,47,Second,man,TRUE
1,male,60,First,man,FALSE
0,male,22,Third,man,TRUE
0,male,,Third,man,TRUE
0,male,35,Third,man,TRUE
1,female,52,First,woman,FALSE
0,male,47,Third,man,TRUE
0,female,,Third,woman,FALSE
0,male,37,Second,man,FALSE
0,male,36,Third,man,FALSE
1,female,,Second,woman,TRUE
0,male,49,Third,man,TRUE
0,male,,Third,man,TRUE
1,male,49,First,man,FALSE
1,female,24,Second,woman,FALSE
0,male,,Third,man,TRUE
0,male,,First,man,TRUE
0,male,44,Third,man,TRUE
1,male,35,First,man,TRUE
0,male,36,Third,man,FALSE
0,male,30,Third,man,TRUE
1,male,27,First,man,TRUE
1,female,22,Second,woman,FALSE
1,female,40,First,woman,TRUE
0,female,39,Third,woman,FALSE
0,male,,Third,man,TRUE
1,female,,Third,woman,FALSE
0,male,,Third,man,TRUE
0,male,35,Third,man,TRUE
1,female,24,Second,woman,FALSE
0,male,34,Third,man,FALSE
0,female,26,Third,woman,FALSE
1,female,4,Second,child,FALSE
0,male,26,Second,man,TRUE
0,male,27,Third,man,FALSE
1,male,42,First,man,FALSE
1,male,20,Third,man,FALSE
0,male,21,Third,man,TRUE
0,male,21,Third,man,TRUE
0,male,61,First,man,TRUE
0,male,57,Second,man,TRUE
1,female,21,First,woman,TRUE
0,male,26,Third,man,TRUE
0,male,,Third,man,TRUE
1,male,80,First,man,TRUE
0,male,51,Third,man,TRUE
1,male,32,First,man,TRUE
0,male,,First,man,TRUE
0,female,9,Third,child,FALSE
1,female,28,Second,woman,TRUE
0,male,32,Third,man,TRUE
0,male,31,Second,man,FALSE
0,female,41,Third,woman,FALSE
0,male,,Third,man,FALSE
0,male,20,Third,man,TRUE
1,female,24,First,woman,TRUE
0,female,2,Third,child,FALSE
1,male,,Third,man,TRUE
1,female,0.75,Third,child,FALSE
1,male,48,First,man,FALSE
0,male,19,Third,man,TRUE
1,male,56,First,man,TRUE
0,male,,Third,man,TRUE
1,female,23,Third,woman,TRUE
0,male,,Third,man,TRUE
1,female,18,Second,woman,FALSE
0,male,21,Third,man,TRUE
1,female,,Third,woman,TRUE
0,female,18,Third,woman,TRUE
0,male,24,Second,man,FALSE
0,male,,Third,man,TRUE
0,female,32,Third,woman,FALSE
0,male,23,Second,man,TRUE
0,male,58,First,man,FALSE
1,male,50,First,man,FALSE
0,male,40,Third,man,TRUE
0,male,47,First,man,TRUE
0,male,36,Third,man,TRUE
1,male,20,Third,man,FALSE
0,male,32,Second,man,FALSE
0,male,25,Second,man,TRUE
0,male,,Third,man,TRUE
0,male,43,Third,man,TRUE
1,female,,First,woman,FALSE
1,female,40,Second,woman,FALSE
0,male,31,First,man,FALSE
0,male,70,Second,man,TRUE
1,male,31,Second,man,TRUE
0,male,,Second,man,TRUE
0,male,18,Third,man,TRUE
0,male,24.5,Third,man,TRUE
1,female,18,Third,woman,TRUE
0,female,43,Third,woman,FALSE
1,male,36,First,man,FALSE
0,female,,Third,woman,TRUE
1,male,27,First,man,TRUE
0,male,20,Third,man,TRUE
0,male,14,Third,child,FALSE
0,male,60,Second,man,FALSE
0,male,25,Second,man,FALSE
0,male,14,Third,child,FALSE
0,male,19,Third,man,TRUE
0,male,18,Third,man,TRUE
1,female,15,First,child,FALSE
1,male,31,First,man,FALSE
1,female,4,Third,child,FALSE
1,male,,Third,man,TRUE
0,male,25,Third,man,TRUE
0,male,60,First,man,TRUE
0,male,52,Second,man,TRUE
0,male,44,Third,man,TRUE
1,female,,Third,woman,TRUE
0,male,49,First,man,FALSE
0,male,42,Third,man,TRUE
1,female,18,First,woman,FALSE
1,male,35,First,man,TRUE
0,female,18,Third,woman,FALSE
0,male,25,Third,man,TRUE
0,male,26,Third,man,FALSE
0,male,39,Second,man,TRUE
1,female,45,Second,woman,TRUE
1,male,42,First,man,TRUE
1,female,22,First,woman,TRUE
1,male,,Third,man,FALSE
1,female,24,First,woman,TRUE
0,male,,First,man,TRUE
1,male,48,First,man,FALSE
0,male,29,Third,man,TRUE
0,male,52,Second,man,TRUE
0,male,19,Third,man,TRUE
1,female,38,First,woman,TRUE
1,female,27,Second,woman,TRUE
0,male,,Third,man,TRUE
0,male,33,Third,man,TRUE
1,female,6,Second,child,FALSE
0,male,17,Third,man,FALSE
0,male,34,Second,man,TRUE
0,male,50,Second,man,TRUE
1,male,27,First,man,FALSE
0,male,20,Third,man,TRUE
1,female,30,Second,woman,FALSE
1,female,,Third,woman,TRUE
0,male,25,Second,man,FALSE
0,female,25,Third,woman,FALSE
1,female,29,First,woman,TRUE
0,male,11,Third,child,TRUE
0,male,,Second,man,TRUE
0,male,23,Second,man,TRUE
0,male,23,Second,man,TRUE
0,male,28.5,Third,man,TRUE
0,female,48,Third,woman,FALSE
1,male,35,First,man,TRUE
0,male,,Third,man,TRUE
0,male,,Third,man,TRUE
1,male,,First,man,TRUE
0,male,36,First,man,FALSE
1,female,21,First,woman,FALSE
0,male,24,Third,man,FALSE
1,male,31,Third,man,TRUE
0,male,70,First,man,FALSE
0,male,16,Third,man,FALSE
1,female,30,Second,woman,TRUE
0,male,19,First,man,FALSE
0,male,31,Third,man,TRUE
1,female,4,Second,child,FALSE
1,male,6,Third,child,FALSE
0,male,33,Third,man,TRUE
0,male,23,Third,man,TRUE
1,female,48,Second,woman,FALSE
1,male,0.67,Second,child,FALSE
0,male,28,Third,man,TRUE
0,male,18,Second,man,TRUE
0,male,34,Third,man,TRUE
1,female,33,First,woman,TRUE
0,male,,Third,man,TRUE
0,male,41,Third,man,TRUE
1,male,20,Third,man,TRUE
1,female,36,First,woman,FALSE
0,male,16,Third,man,TRUE
1,female,51,First,woman,FALSE
0,male,,First,man,TRUE
0,female,30.5,Third,woman,TRUE
0,male,,Third,man,FALSE
0,male,32,Third,man,TRUE
0,male,24,Third,man,TRUE
0,male,48,Third,man,TRUE
0,female,57,Second,woman,TRUE
0,male,,Third,man,TRUE
1,female,54,Second,woman,FALSE
0,male,18,Third,man,TRUE
0,male,,Third,man,TRUE
1,female,5,Third,child,TRUE
0,male,,Third,man,TRUE
1,female,43,First,woman,FALSE
1,female,13,Third,child,TRUE
1,female,17,First,woman,FALSE
0,male,29,First,man,TRUE
0,male,,Third,man,FALSE
0,male,25,Third,man,TRUE
0,male,25,Third,man,TRUE
1,female,18,Third,woman,TRUE
0,male,8,Third,child,FALSE
1,male,1,Third,child,FALSE
0,male,46,First,man,TRUE
0,male,,Third,man,TRUE
0,male,16,Second,man,TRUE
0,female,,Third,woman,FALSE
0,male,,First,man,TRUE
0,male,25,Third,man,TRUE
0,male,39,Second,man,TRUE
1,female,49,First,woman,TRUE
1,female,31,Third,woman,TRUE
0,male,30,Third,man,TRUE
0,female,30,Third,woman,FALSE
0,male,34,Second,man,TRUE
1,female,31,Second,woman,FALSE
1,male,11,First,child,FALSE
1,male,0.42,Third,child,FALSE
1,male,27,Third,man,TRUE
0,male,31,Third,man,TRUE
0,male,39,First,man,TRUE
0,female,18,Third,woman,TRUE
0,male,39,Second,man,TRUE
1,female,33,First,woman,FALSE
0,male,26,Third,man,TRUE
0,male,39,Third,man,TRUE
0,male,35,Second,man,TRUE
0,female,6,Third,child,FALSE
0,male,30.5,Third,man,TRUE
0,male,,First,man,TRUE
0,female,23,Third,woman,TRUE
0,male,31,Second,man,FALSE
0,male,43,Third,man,TRUE
0,male,10,Third,child,FALSE
1,female,52,First,woman,FALSE
1,male,27,Third,man,TRUE
0,male,38,First,man,TRUE
1,female,27,Third,woman,FALSE
0,male,2,Third,child,FALSE
0,male,,Third,man,TRUE
0,male,,Third,man,TRUE
1,male,1,Second,child,FALSE
1,male,,Third,man,TRUE
1,female,62,First,woman,TRUE
1,female,15,Third,child,FALSE
1,male,0.83,Second,child,FALSE
0,male,,Third,man,TRUE
0,male,23,Third,man,TRUE
0,male,18,Third,man,TRUE
1,female,39,First,woman,FALSE
0,male,21,Third,man,TRUE
0,male,,Third,man,TRUE
1,male,32,Third,man,TRUE
1,male,,First,man,TRUE
0,male,20,Third,man,TRUE
0,male,16,Second,man,TRUE
1,female,30,First,woman,TRUE
0,male,34.5,Third,man,TRUE
0,male,17,Third,man,TRUE
0,male,42,Third,man,TRUE
0,male,,Third,man,FALSE
0,male,35,Third,man,TRUE
0,male,28,Second,man,FALSE
1,female,,First,woman,FALSE
0,male,4,Third,child,FALSE
0,male,74,Third,man,TRUE
0,female,9,Third,child,FALSE
1,female,16,First,woman,FALSE
0,female,44,Second,woman,FALSE
1,female,18,Third,woman,FALSE
1,female,45,First,woman,FALSE
1,male,51,First,man,TRUE
1,female,24,Third,woman,FALSE
0,male,,Third,man,TRUE
0,male,41,Third,man,FALSE
0,male,21,Second,man,FALSE
1,female,48,First,woman,TRUE
0,female,,Third,woman,FALSE
0,male,24,Second,man,TRUE
1,female,42,Second,woman,TRUE
1,female,27,Second,woman,FALSE
0,male,31,First,man,TRUE
0,male,,Third,man,TRUE
1,male,4,Third,child,FALSE
0,male,26,Third,man,TRUE
1,female,47,First,woman,FALSE
0,male,33,First,man,TRUE
0,male,47,Third,man,TRUE
1,female,28,Second,woman,FALSE
1,female,15,Third,child,TRUE
0,male,20,Third,man,TRUE
0,male,19,Third,man,TRUE
0,male,,Third,man,TRUE
1,female,56,First,woman,FALSE
1,female,25,Second,woman,FALSE
0,male,33,Third,man,TRUE
0,female,22,Third,woman,TRUE
0,male,28,Second,man,TRUE
0,male,25,Third,man,TRUE
0,female,39,Third,woman,FALSE
0,male,27,Second,man,TRUE
1,female,19,First,woman,TRUE
0,female,,Third,woman,FALSE
1,male,26,First,man,TRUE
0,male,32,Third,man,TRUE
